View,K_00,K_01,K_02,K_11,K_12,K_22,R_00,R_01,R_02,R_10,R_11,R_12,R_20,R_21,R_22,T_0,T_1,T_2
0,493.8315464093541,2.1886111686940755,316.7428567686247,496.6710375146657,241.9064139900433,1.0,0.04544353854579982,-0.6808002104290941,-0.7310581086918723,0.997616908547747,-0.007104870034696448,0.06862961898063107,-0.051917131893748886,-0.7324347030974785,0.6788549308316438,2.0995245300937495,-2.6530690578964693,14.28778450214089
1,493.8315464093541,2.1886111686940755,316.7428567686247,496.6710375146657,241.9064139900433,1.0,0.015382768035223105,-0.9018859649944595,-0.4317002161148263,0.996099765186708,-0.02369355560886806,0.08499337160975962,-0.08688284204927767,-0.43132391722303387,0.8980039254863075,5.386942317774026,-2.3769564111710313,13.9764522746338
2,493.8315464093541,2.1886111686940755,316.7428567686247,496.6710375146657,241.9064139900433,1.0,0.0028373833752346296,-0.9993358384775416,-0.03632948100332207,0.9543721282861826,-0.008142160451813676,0.2985088708458744,-0.2986064132032062,-0.035518828212171075,0.9537151686097639,2.7033564071451077,-1.2201042614751407,12.471425899748082
3,493.8315464093541,2.1886111686940755,316.7428567686247,496.6710375146657,241.9064139900433,1.0,0.04808957200509039,-0.9886710897986087,-0.14218603750297762,0.9919233601931436,0.030543194144818323,0.12310629876076593,-0.11736882280874372,-0.14695778131103784,0.9821547586529461,5.700794337184877,-2.6715196606085168,13.574738226361987
4,493.8315464093541,2.1886111686940755,316.7428567686247,496.6710375146657,241.9064139900433,1.0,-0.009438806855611537,-0.9968790025106173,-0.07837833424218166,0.9528924724819778,-0.03273030008183908,0.301537167433363,-0.3031614170905092,-0.07183997362185952,0.9502274324485086,5.40930977116357,-0.978097962521446,12.323018921969208
5,493.8315464093541,2.1886111686940755,316.7428567686247,496.6710375146657,241.9064139900433,1.0,0.07416524110070451,-0.8382699712660794,0.5401879046091659,0.9808078380495643,0.15926029857103866,0.11248174127209863,-0.18032055299664015,0.521478295399368,0.8339933366606448,2.761129314405339,-2.6881140965873587,9.238931691718978
6,493.8315464093541,2.1886111686940755,316.7428567686247,496.6710375146657,241.9064139900433,1.0,0.0555893188017474,-0.8385525673853188,0.5419773236646056,0.9731623056270676,0.1669053466146942,0.15842263783323196,-0.22330462275055654,0.5186252953751096,0.8253259043888737,2.5259145357440835,-2.005171069502599,9.679279260531088
7,493.8315464093541,2.1886111686940755,316.7428567686247,496.6710375146657,241.9064139900433,1.0,-0.010305017501841549,-0.9983002477480994,-0.057362199751839635,0.9461768766477634,-0.028292663120812897,0.3224109850960653,-0.3234858956915583,-0.05095233615463977,0.9448601667596188,5.0435660312077095,-0.8166832128734913,12.945753874620035
