World X,World Y,Image X,Image Y
0.0,0.0,524.32776,143.90727
1.0,0.0,527.803,179.92856
2.0,0.0,531.45844,216.10645
3.0,0.0,535.4401,253.23318
4.0,0.0,539.2671,291.15286
5.0,0.0,543.3244,329.66205
0.0,1.0,489.9959,144.08319
1.0,1.0,492.97046,180.55551
2.0,1.0,496.30426,217.13252
3.0,1.0,499.882,254.49196
4.0,1.0,503.72342,292.72635
5.0,1.0,507.78888,331.76688
0.0,2.0,454.90588,144.31485
1.0,2.0,457.50412,181.28569
2.0,2.0,460.44952,218.08482
3.0,2.0,463.77307,255.73557
4.0,2.0,467.4413,294.384
5.0,2.0,471.45065,333.83923
0.0,3.0,419.14185,144.49951
1.0,3.0,421.47195,181.81963
2.0,3.0,424.20682,218.97466
3.0,3.0,427.23422,257.0658
4.0,3.0,430.56018,296.04907
5.0,3.0,434.2426,335.99356
0.0,4.0,382.64526,144.64282
1.0,4.0,384.83566,182.42357
2.0,4.0,387.38345,219.92348
3.0,4.0,390.1216,258.4472
4.0,4.0,393.06906,297.79398
5.0,4.0,396.25494,338.27664
0.0,5.0,345.45148,144.68112
1.0,5.0,347.52887,182.845
2.0,5.0,349.7808,220.83713
3.0,5.0,352.24603,259.8105
4.0,5.0,354.75516,299.73566
5.0,5.0,357.4569,340.69064
0.0,6.0,307.4025,144.58633
1.0,6.0,309.34396,183.27295
2.0,6.0,311.2999,221.78033
3.0,6.0,313.37357,261.31207
4.0,6.0,315.46982,301.80606
5.0,6.0,317.62283,343.3745
0.0,7.0,268.05624,144.3312
1.0,7.0,269.80118,183.51907
2.0,7.0,271.5992,222.61826
3.0,7.0,273.3466,262.81384
4.0,7.0,275.07492,304.0549
5.0,7.0,276.63113,346.34457
0.0,8.0,227.35889,143.84814
1.0,8.0,228.99107,183.58583
2.0,8.0,230.41998,223.53197
3.0,8.0,231.76898,264.4394
4.0,8.0,233.01094,306.48178
5.0,8.0,234.09956,349.51706
