World X,World Y,Image X,Image Y
0.0,0.0,507.38724,157.29169
1.0,0.0,509.0665,192.58875
2.0,0.0,510.74225,227.81764
3.0,0.0,512.81586,263.8448
4.0,0.0,514.65936,300.55673
5.0,0.0,516.80255,337.71844
0.0,1.0,480.65924,153.79066
1.0,1.0,481.89,190.33089
2.0,1.0,483.4687,226.61789
3.0,1.0,485.36966,263.65833
4.0,1.0,487.39163,301.4581
5.0,1.0,489.64993,339.78293
0.0,2.0,452.38486,150.25775
1.0,2.0,453.3309,187.86707
2.0,2.0,454.6182,225.32906
3.0,2.0,456.40994,263.47617
4.0,2.0,458.4043,302.38538
5.0,2.0,460.77252,342.07248
0.0,3.0,422.31366,146.37961
1.0,3.0,423.01987,185.31422
2.0,3.0,424.2718,223.81895
3.0,3.0,425.74872,263.2474
4.0,3.0,427.67682,303.39365
5.0,3.0,429.88565,344.39792
0.0,4.0,390.18268,142.2226
1.0,4.0,390.7896,182.42296
2.0,4.0,391.8865,222.33815
3.0,4.0,393.35162,263.03146
4.0,4.0,394.9813,304.5786
5.0,4.0,396.8777,347.0601
0.0,5.0,355.68622,137.57741
1.0,5.0,356.3795,179.30736
2.0,5.0,357.4268,220.58253
3.0,5.0,358.56744,262.77057
4.0,5.0,359.95978,305.89642
5.0,5.0,361.50775,349.99304
0.0,6.0,318.62152,132.54552
1.0,6.0,319.3405,175.72621
2.0,6.0,320.24744,218.68933
3.0,6.0,321.1886,262.54663
4.0,6.0,322.19028,307.41266
5.0,6.0,323.32068,353.32913
0.0,7.0,278.50925,126.72877
1.0,7.0,279.26523,171.79582
2.0,7.0,279.95477,216.56036
3.0,7.0,280.60565,262.375
4.0,7.0,281.25775,309.17685
5.0,7.0,281.72946,357.16205
0.0,8.0,234.57304,120.33808
1.0,8.0,235.37444,167.36258
2.0,8.0,235.91902,214.30211
3.0,8.0,236.33925,262.13968
4.0,8.0,236.35205,311.29083
5.0,8.0,236.2487,361.50665
