World X,World Y,Image X,Image Y
0.0,0.0,423.9764,192.84435
1.0,0.0,426.4435,231.0687
2.0,0.0,429.15775,270.45605
3.0,0.0,432.34146,312.42062
4.0,0.0,435.61618,357.09427
5.0,0.0,439.18774,404.35117
0.0,1.0,383.75912,192.84781
1.0,1.0,385.29794,231.02698
2.0,1.0,386.96414,270.4029
3.0,1.0,388.88928,312.1417
4.0,1.0,391.15253,356.58255
5.0,1.0,393.40817,403.8054
0.0,2.0,343.86398,192.70018
1.0,2.0,344.52362,230.93082
2.0,2.0,345.2603,270.28522
3.0,2.0,346.07794,311.95135
4.0,2.0,346.92093,356.33383
5.0,2.0,347.90826,403.54834
0.0,3.0,303.9714,192.52592
1.0,3.0,303.7515,230.74413
2.0,3.0,303.51202,270.17896
3.0,3.0,303.21933,311.9057
4.0,3.0,302.86554,356.30023
5.0,3.0,302.37006,403.5613
0.0,4.0,263.80634,192.37308
1.0,4.0,262.73108,230.6212
2.0,4.0,261.52377,270.20227
3.0,4.0,260.17062,312.02054
4.0,4.0,258.5128,356.5619
5.0,4.0,256.56436,403.94165
0.0,5.0,223.35493,192.06543
1.0,5.0,221.41035,230.54199
2.0,5.0,219.23434,270.21725
3.0,5.0,216.57343,312.28836
4.0,5.0,213.62839,357.05087
5.0,5.0,210.36172,404.51904
0.0,6.0,182.24973,191.7096
1.0,6.0,179.41682,230.33194
2.0,6.0,176.10179,270.31
3.0,6.0,172.37679,312.5909
4.0,6.0,168.1727,357.57184
5.0,6.0,163.70271,405.028
0.0,7.0,140.57202,191.29895
1.0,7.0,136.61,230.10997
2.0,7.0,132.36607,270.30685
3.0,7.0,127.48552,312.91174
4.0,7.0,122.42789,358.0156
5.0,7.0,117.061806,405.37088
0.0,8.0,98.528755,190.89378
1.0,8.0,93.523155,229.7678
2.0,8.0,88.13314,270.2673
3.0,8.0,82.37154,313.02298
4.0,8.0,76.419624,358.25433
5.0,8.0,70.269775,405.45004
