World X,World Y,Image X,Image Y
0.0,0.0,464.94766,95.838234
1.0,0.0,471.37994,148.078
2.0,0.0,478.2257,201.19423
3.0,0.0,485.81146,256.5823
4.0,0.0,494.3344,314.59262
5.0,0.0,502.96045,375.28705
0.0,1.0,413.37625,112.73591
1.0,1.0,418.6873,162.31079
2.0,1.0,424.43283,212.2718
3.0,1.0,430.56763,264.2975
4.0,1.0,437.45035,318.65347
5.0,1.0,444.53906,375.7268
0.0,2.0,367.6052,127.673096
1.0,2.0,372.379,174.57327
2.0,2.0,377.1739,221.84552
3.0,2.0,382.15265,271.06998
4.0,2.0,387.4571,322.37082
5.0,2.0,393.01797,376.2664
0.0,3.0,326.72476,140.82849
1.0,3.0,330.84528,185.50124
2.0,3.0,334.84457,230.41927
3.0,3.0,338.877,277.20828
4.0,3.0,343.0962,325.87427
5.0,3.0,347.23447,376.86853
0.0,4.0,289.7495,152.6404
1.0,4.0,293.3831,195.21733
2.0,4.0,296.58185,238.22534
3.0,4.0,299.789,282.80374
4.0,4.0,303.0199,329.31497
5.0,4.0,306.1482,377.76526
0.0,5.0,256.176,163.28569
1.0,5.0,259.18262,204.07008
2.0,5.0,261.72626,245.24234
3.0,5.0,264.28253,287.97217
4.0,5.0,266.63135,332.4762
5.0,5.0,268.7957,378.81067
0.0,6.0,225.28516,172.94969
1.0,6.0,227.68678,212.09224
2.0,6.0,229.6995,251.6694
3.0,6.0,231.62021,292.71283
4.0,6.0,233.34567,335.46237
5.0,6.0,234.78012,379.79834
0.0,7.0,196.63002,181.7
1.0,7.0,198.51424,219.457
2.0,7.0,200.08028,257.5552
3.0,7.0,201.37321,297.24054
4.0,7.0,202.58864,338.2954
5.0,7.0,203.55827,380.83325
0.0,8.0,169.90761,189.91684
1.0,8.0,171.20546,226.24692
2.0,8.0,172.21352,263.19437
3.0,8.0,173.0745,301.3559
4.0,8.0,173.92871,341.0068
5.0,8.0,174.67134,381.7151
