World X,World Y,Image X,Image Y
0.0,0.0,446.40344,137.86711
1.0,0.0,451.8898,187.69144
2.0,0.0,457.9533,238.69893
3.0,0.0,464.86533,292.5131
4.0,0.0,472.60266,349.43073
5.0,0.0,480.35623,409.2714
0.0,1.0,398.2633,151.86469
1.0,1.0,402.7676,199.12305
2.0,1.0,407.67044,247.26913
3.0,1.0,413.02243,297.87354
4.0,1.0,419.03857,351.43762
5.0,1.0,425.11023,407.95926
0.0,2.0,355.45248,164.183
1.0,2.0,359.34805,209.0494
2.0,2.0,363.23697,254.74614
3.0,2.0,367.26074,302.75906
4.0,2.0,371.59372,353.39777
5.0,2.0,376.10266,406.9133
0.0,3.0,316.93503,175.07759
1.0,3.0,320.13983,217.94441
2.0,3.0,323.14423,261.54578
3.0,3.0,326.16855,307.34006
4.0,3.0,329.33377,355.4436
5.0,3.0,332.37952,406.25485
0.0,4.0,281.91144,184.94688
1.0,4.0,284.45926,225.97813
2.0,4.0,286.65192,267.7826
3.0,4.0,288.8333,311.53894
4.0,4.0,290.96045,357.51303
5.0,4.0,292.97043,405.81693
0.0,5.0,249.90138,193.93674
1.0,5.0,251.8281,233.38538
2.0,5.0,253.40858,273.47144
3.0,5.0,254.77602,315.50345
4.0,5.0,256.08276,359.5376
5.0,5.0,257.1197,405.66846
0.0,6.0,220.4497,202.25438
1.0,6.0,221.76115,240.12119
2.0,6.0,222.68817,278.74738
3.0,6.0,223.47255,319.15536
4.0,6.0,224.0253,361.47028
5.0,6.0,224.41124,405.56467
0.0,7.0,193.07857,209.67215
1.0,7.0,193.73697,246.38666
2.0,7.0,194.20172,283.58246
3.0,7.0,194.35828,322.63605
4.0,7.0,194.49702,363.3112
5.0,7.0,194.40279,405.5501
0.0,8.0,167.38751,216.78719
1.0,8.0,167.49815,252.10074
2.0,8.0,167.37416,288.2951
3.0,8.0,167.15953,325.8321
4.0,8.0,166.93292,365.0713
5.0,8.0,166.6642,405.42734
