World X,World Y,Image X,Image Y
0.0,0.0,534.52625,202.4397
1.0,0.0,539.5088,241.17754
2.0,0.0,544.7442,281.29218
3.0,0.0,550.5611,323.83817
4.0,0.0,556.28546,368.78415
5.0,0.0,562.18176,415.77707
0.0,1.0,495.0308,200.85283
1.0,1.0,498.83527,239.77708
2.0,1.0,503.25177,280.0463
3.0,1.0,508.20447,322.79526
4.0,1.0,513.3623,368.11414
5.0,1.0,518.63495,415.64743
0.0,2.0,455.17105,199.36418
1.0,2.0,457.94537,238.38226
2.0,2.0,461.35602,278.65314
3.0,2.0,465.32962,321.54843
4.0,2.0,469.6376,367.16623
5.0,2.0,474.2195,415.29105
0.0,3.0,415.14825,197.74869
1.0,3.0,417.05286,236.88463
2.0,3.0,419.40778,277.2661
3.0,3.0,422.23233,320.21838
4.0,3.0,425.4871,366.07297
5.0,3.0,428.94055,414.68454
0.0,4.0,375.01993,196.2036
1.0,4.0,376.0642,235.42155
2.0,4.0,377.4011,275.89493
3.0,4.0,379.00925,318.9916
4.0,4.0,380.93332,365.07755
5.0,4.0,383.07812,414.17618
0.0,5.0,334.50684,194.48827
1.0,5.0,334.77338,233.84949
2.0,5.0,335.02692,274.62927
3.0,5.0,335.4406,317.98715
4.0,5.0,336.0013,364.23468
5.0,5.0,336.6022,413.7744
0.0,6.0,293.4869,192.7403
1.0,6.0,292.6502,232.29662
2.0,6.0,292.0218,273.40485
3.0,6.0,291.2927,316.99506
4.0,6.0,290.38123,363.7061
5.0,6.0,289.411,413.6071
0.0,7.0,251.70909,190.80815
1.0,7.0,250.05135,230.69983
2.0,7.0,248.25992,272.07455
3.0,7.0,246.22177,316.2399
4.0,7.0,243.88002,363.4123
5.0,7.0,241.2721,413.75775
0.0,8.0,208.81819,188.76161
1.0,8.0,206.1759,228.94835
2.0,8.0,203.13898,270.84906
3.0,8.0,199.737,315.50226
4.0,8.0,195.97305,363.36142
5.0,8.0,191.98634,413.9743
