World X,World Y,Image X,Image Y
0.0,0.0,510.09128,210.47958
1.0,0.0,514.49414,247.33376
2.0,0.0,519.21405,285.44528
3.0,0.0,524.3687,326.01215
4.0,0.0,529.48566,368.8064
5.0,0.0,534.7057,413.7279
0.0,1.0,471.73138,209.3674
1.0,1.0,475.12842,246.26257
2.0,1.0,478.83844,284.42218
3.0,1.0,483.1598,324.98868
4.0,1.0,487.62418,368.0691
5.0,1.0,492.25772,413.33856
0.0,2.0,433.50067,208.2287
1.0,2.0,435.84717,245.16066
2.0,2.0,438.61163,283.29016
3.0,2.0,441.83865,323.79657
4.0,2.0,445.4403,367.0158
5.0,2.0,449.22656,412.67987
0.0,3.0,395.35376,206.99963
1.0,3.0,396.7892,243.9917
2.0,3.0,398.60773,282.1178
3.0,3.0,400.6593,322.65726
4.0,3.0,403.18253,365.95435
5.0,3.0,405.69278,411.95126
0.0,4.0,357.15247,205.76202
1.0,4.0,357.74338,242.81024
2.0,4.0,358.547,281.12955
3.0,4.0,359.52933,321.72626
4.0,4.0,360.65897,365.1644
5.0,4.0,361.92877,411.4285
0.0,5.0,318.58087,204.5306
1.0,5.0,318.49686,241.68356
2.0,5.0,318.31488,280.16574
3.0,5.0,318.12836,320.91095
4.0,5.0,317.94855,364.48972
5.0,5.0,317.7266,411.04294
0.0,6.0,279.6768,203.33305
1.0,6.0,278.5634,240.50117
2.0,6.0,277.447,279.2188
3.0,6.0,276.2043,320.2133
4.0,6.0,274.6554,364.07166
5.0,6.0,273.03513,410.85623
0.0,7.0,240.28427,201.85478
1.0,7.0,238.25784,239.38074
2.0,7.0,236.11041,278.21405
3.0,7.0,233.51581,319.63123
4.0,7.0,230.68144,363.8294
5.0,7.0,227.57211,410.95752
0.0,8.0,199.83232,200.43231
1.0,8.0,196.85522,238.07277
2.0,8.0,193.50679,277.35687
3.0,8.0,189.72597,319.17297
4.0,8.0,185.61958,363.81064
5.0,8.0,181.30919,411.0703
